,stock_id,NumberOfSharesIssued,price,market_cap,EPS,PE_ratio,IncomeAfterTaxes,equity,ROE(%),TotalAssets,ROA(%)
68,6695,95085250.0,46.75,4445235437.5,0.29,161.20689655172416,24624000.0,1412509000.0,1.74328092776754,1749439000.0,1.407536930410263
69,3041,193409746.0,21.55,4167980026.3,0.01,2155.0,1739000.0,3273640000.0,0.05312129617184541,3884477000.0,0.044767931435814916
70,3588,56883828.0,63.7,3623499843.6000004,0.19,335.2631578947369,10669000.0,1655442000.0,0.6444804469138756,1991456000.0,0.5357386756222583
71,3257,79986590.0,43.75,3499413312.5,0.07,624.9999999999999,6162000.0,1489445000.0,0.41371114744082527,1601803000.0,0.38469150076507536
72,2302,166302881.0,19.1,3176385027.1000004,0.33,57.87878787878788,55452000.0,1825405000.0,3.0377916133679923,2106680000.0,2.632198530389048
73,6552,83000000.0,32.55,2701650000.0,0.0,inf,169000.0,2484821000.0,0.006801294741150369,4678608000.0,0.0036121855047484205
74,3094,83117089.0,27.0,2244161403.0,0.23,117.39130434782608,19078000.0,1054925000.0,1.8084697964310261,1172330000.0,1.6273574846672867
75,4967,71548687.0,30.55,2185812387.85,-0.95,-32.15789473684211,-89137000.0,1974350000.0,-4.514751690429762,3707372000.0,-2.404317667609293
76,3054,83411041.0,19.6,1634856403.6000001,-0.15,-130.66666666666669,-11758000.0,771223000.0,-1.5245914605762534,807974000.0,-1.4552448469876507
77,6243,45322841.0,28.7,1300765536.7,0.63,45.55555555555556,27819000.0,790168000.0,3.5206437112107802,1142050000.0,2.435882842257344
78,6573,80499345.0,13.7,1102841026.5,-0.55,-24.909090909090907,-53470000.0,1066093000.0,-5.015509903920202,2490885000.0,-2.1466266005857357
79,2434,37000000.0,29.8,1102600000.0,0.62,48.064516129032256,22886000.0,531653000.0,4.304687455915794,720418000.0,3.176766821484194
80,3686,76495118.0,12.75,975312754.5,-0.16,-79.6875,-6480000.0,740912000.0,-0.8745977929902606,749869000.0,-0.864150938363901
81,3536,106800000.0,3.75,400500000.0,-0.26,-14.423076923076923,-29521000.0,106639000.0,-27.68311780868163,1290124000.0,-2.28822965854445
82,6271,.,.,.,.,.,771904000.0,24236930000.0,3.1848258009574644,30927046000.0,2.4958866100564534
